Advertisers,Bid ranges (gross),Bids,Average bid CPM (gross) (THB),Estimated earnings from bids (THB),Impressions won,Winning bid CPM (gross) (THB),Close CPM (THB),Win %
BANYAN TREE HOLDINGS LIMITED,THB 9.55 - THB 12.74,3.00,10.67,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 12.74 - THB 15.92,1.00,13.58,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 15.92 - THB 19.11,332.00,16.27,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 19.11 - THB 22.29,2.00,19.17,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 28.66 - THB 31.84,1.00,29.42,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 35.03 - THB 38.21,3.00,35.98,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 38.21 - THB 41.40,35.00,41.32,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 41.40 - THB 44.58,13.00,41.38,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 44.58 - THB 47.76,72.00,47.00,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 47.76 - THB 50.95,17.00,48.99,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 73.24 - THB 76.42,5.00,74.61,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 79.61 - THB 82.79,23.00,82.11,1.47,23.00,82.11,63.72,1.00
BANYAN TREE HOLDINGS LIMITED,THB 85.98 - THB 89.16,3.00,86.09,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 89.16 - THB 92.34,21.00,90.02,1.16,18.00,90.02,64.17,0.86
BANYAN TREE HOLDINGS LIMITED,THB 92.34 - THB 95.53,4.00,95.44,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 98.71 - THB 101.90,141.00,99.99,3.06,124.00,99.99,24.69,0.88
BANYAN TREE HOLDINGS LIMITED,THB 101.90 - THB 105.08,9.00,103.49,0.00,0.00,0.00,0.00,0.00
BANYAN TREE HOLDINGS LIMITED,THB 105.08 - THB 108.27,9.00,105.11,0.51,8.00,105.10,63.69,0.89
BANYAN TREE HOLDINGS LIMITED,THB 111.45 - THB 114.63,2.00,113.01,0.06,1.00,112.46,63.90,0.50
BANYAN TREE HOLDINGS LIMITED,THB 114.63 - THB 117.82,15.00,115.89,0.22,3.00,115.81,72.09,0.20
BANYAN TREE HOLDINGS LIMITED,THB 117.82 - THB 121.00,7.00,118.88,0.46,7.00,118.88,66.41,1.00
BANYAN TREE HOLDINGS LIMITED,THB 121.00 - THB 124.19,2.00,121.93,0.15,2.00,121.93,76.28,1.00
BANYAN TREE HOLDINGS LIMITED,THB 140.11 - THB 143.29,1.00,140.53,0.11,1.00,140.53,112.42,1.00
BANYAN TREE HOLDINGS LIMITED,THB 159.21 - THB 162.40,4.00,159.25,0.19,4.00,159.25,47.77,1.00
BANYAN TREE HOLDINGS LIMITED,THB 168.77 - THB 171.95,2.00,170.01,0.13,2.00,170.01,63.69,1.00
BANYAN TREE HOLDINGS LIMITED,THB 191.06 - THB 194.24,5.00,192.67,0.29,5.00,192.67,58.86,1.00
BANYAN TREE HOLDINGS LIMITED,THB 280.22 - THB 283.40,1.00,281.05,0.06,1.00,281.05,63.88,1.00
BANYAN TREE HOLDINGS LIMITED,THB 286.58 - THB 289.77,19.00,289.73,0.19,19.00,289.73,10.09,1.00
BANYAN TREE HOLDINGS LIMITED,THB 289.77 - THB 292.95,12.00,290.01,0.35,12.00,290.01,29.42,1.00
BANYAN TREE HOLDINGS LIMITED,THB 318.43 - THB 321.61,64.00,318.75,4.13,55.00,318.77,75.11,0.86
BANYAN TREE HOLDINGS LIMITED,THB 455.35 - THB 458.53,3.00,455.61,0.32,3.00,455.61,106.53,1.00
BANYAN TREE HOLDINGS LIMITED,THB 471.27 - THB 474.46,1.00,470.85,0.06,1.00,470.85,63.63,1.00
BANYAN TREE HOLDINGS LIMITED,THB 477.64 - THB 480.82,12.00,478.35,1.19,12.00,478.35,98.87,1.00
BANYAN TREE HOLDINGS LIMITED,THB 633.67 - THB 636.85,3.00,635.58,0.19,3.00,635.58,63.69,1.00
BANYAN TREE HOLDINGS LIMITED,THB 636.85 - THB 640.04,2.00,640.17,0.23,2.00,640.17,117.03,1.00
BANYAN TREE HOLDINGS LIMITED,THB 662.33 - THB 665.51,1.00,662.96,0.06,1.00,662.96,63.72,1.00
BANYAN TREE HOLDINGS LIMITED,THB 681.43 - THB 684.62,3.00,682.54,0.30,3.00,682.54,101.13,1.00
BANYAN TREE HOLDINGS LIMITED,THB 875.67 - THB 878.86,1.00,878.16,0.06,1.00,878.16,63.72,1.00
BANYAN TREE HOLDINGS LIMITED,THB 907.52 - THB 910.70,3.00,911.13,0.17,2.00,911.69,83.53,0.67
BANYAN TREE HOLDINGS LIMITED,THB 939.36 - THB 942.54,10.00,941.40,0.75,10.00,941.40,75.28,1.00
Barneys,THB 3.18 - THB 6.37,2.00,5.25,0.00,0.00,0.00,0.00,0.00
Barneys,THB 6.37 - THB 9.55,2.00,6.97,0.00,0.00,0.00,0.00,0.00
Barneys,THB 12.74 - THB 15.92,1.00,12.90,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 0.00 - THB 3.18,376293.00,1.29,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 3.18 - THB 6.37,79877.00,4.28,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 6.37 - THB 9.55,114531.00,8.04,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 9.55 - THB 12.74,45140.00,10.84,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 12.74 - THB 15.92,12324.00,13.91,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 15.92 - THB 19.11,1957.00,17.04,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 19.11 - THB 22.29,628.00,20.48,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 22.29 - THB 25.47,304.00,23.75,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 25.47 - THB 28.66,191.00,26.87,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 28.66 - THB 31.84,56.00,30.11,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 31.84 - THB 35.03,28.00,33.19,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 35.03 - THB 38.21,6.00,35.78,0.00,0.00,0.00,0.00,0.00
Best Buy,THB 38.21 - THB 41.40,4.00,39.49,0.00,0.00,0.00,0.00,0.00
Best Western,THB 3.18 - THB 6.37,2.00,3.19,0.00,0.00,0.00,0.00,0.00
Best Western,THB 15.92 - THB 19.11,37.00,15.94,0.00,0.00,0.00,0.00,0.00
Best Western,THB 907.52 - THB 910.70,1.00,910.02,0.06,1.00,910.02,63.69,1.00
BNP Paribas,THB 0.00 - THB 3.18,2.00,2.35,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 3.18 - THB 6.37,2.00,5.11,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 6.37 - THB 9.55,4.00,8.64,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 9.55 - THB 12.74,8.00,11.17,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 12.74 - THB 15.92,758.00,15.68,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 19.11 - THB 22.29,313.00,19.82,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 31.84 - THB 35.03,2.00,32.37,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 38.21 - THB 41.40,52.00,40.51,0.00,0.00,0.00,0.00,0.00
BNP Paribas,THB 47.76 - THB 50.95,6.00,49.56,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 0.00 - THB 3.18,110623.00,1.99,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 3.18 - THB 6.37,45288.00,4.43,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 6.37 - THB 9.55,15222.00,7.74,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 9.55 - THB 12.74,7418.00,10.97,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 12.74 - THB 15.92,4258.00,14.21,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 15.92 - THB 19.11,2741.00,17.43,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 19.11 - THB 22.29,1801.00,20.61,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 22.29 - THB 25.47,1265.00,23.82,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 25.47 - THB 28.66,966.00,26.98,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 28.66 - THB 31.84,735.00,30.22,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 31.84 - THB 35.03,605.00,33.38,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 35.03 - THB 38.21,471.00,36.65,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 38.21 - THB 41.40,375.00,39.80,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 41.40 - THB 44.58,344.00,42.95,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 44.58 - THB 47.76,259.00,46.25,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 47.76 - THB 50.95,272.00,49.32,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 50.95 - THB 54.13,157.00,52.60,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 54.13 - THB 57.32,155.00,55.75,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 57.32 - THB 60.50,133.00,58.99,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 60.50 - THB 63.69,102.00,62.09,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 63.69 - THB 66.87,95.00,65.40,4.59,74.00,65.42,62.07,0.78
Booking Holdings,THB 66.87 - THB 70.05,75.00,68.38,3.00,51.00,68.36,58.79,0.68
Booking Holdings,THB 70.05 - THB 73.24,73.00,71.78,3.25,54.00,71.88,60.23,0.74
Booking Holdings,THB 73.24 - THB 76.42,58.00,74.97,2.74,46.00,74.98,59.61,0.79
Booking Holdings,THB 76.42 - THB 79.61,50.00,78.03,2.10,35.00,77.93,60.12,0.70
Booking Holdings,THB 79.61 - THB 82.79,33.00,80.97,1.27,21.00,80.96,60.71,0.64
Booking Holdings,THB 82.79 - THB 85.98,37.00,84.25,1.72,29.00,84.27,59.36,0.78
Booking Holdings,THB 85.98 - THB 89.16,37.00,87.55,1.72,32.00,87.63,53.81,0.86
Booking Holdings,THB 89.16 - THB 92.34,42.00,90.71,1.79,31.00,90.72,57.60,0.74
Booking Holdings,THB 92.34 - THB 95.53,34.00,94.03,1.60,27.00,94.03,59.33,0.79
Booking Holdings,THB 95.53 - THB 98.71,29.00,97.09,1.40,23.00,96.93,60.98,0.79
Booking Holdings,THB 98.71 - THB 101.90,28.00,100.42,1.53,26.00,100.44,58.83,0.93
Booking Holdings,THB 101.90 - THB 105.08,32.00,103.67,1.53,25.00,103.70,61.33,0.78
Booking Holdings,THB 105.08 - THB 108.27,17.00,106.59,0.93,16.00,106.58,57.89,0.94
Booking Holdings,THB 108.27 - THB 111.45,15.00,109.72,0.90,14.00,109.79,64.40,0.93
Booking Holdings,THB 111.45 - THB 114.63,7.00,114.01,0.45,7.00,114.01,63.83,1.00
Booking Holdings,THB 114.63 - THB 117.82,12.00,116.33,0.51,8.00,116.12,63.81,0.67
Booking Holdings,THB 117.82 - THB 121.00,15.00,119.39,0.96,15.00,119.39,64.13,1.00
Booking Holdings,THB 121.00 - THB 124.19,14.00,123.22,0.71,11.00,123.13,64.95,0.79
Booking Holdings,THB 124.19 - THB 127.37,10.00,126.15,0.51,10.00,126.15,50.99,1.00
Booking Holdings,THB 127.37 - THB 130.55,7.00,128.86,0.38,7.00,128.86,54.70,1.00
Booking Holdings,THB 130.55 - THB 133.74,5.00,132.50,0.25,4.00,132.27,63.73,0.80
Booking Holdings,THB 133.74 - THB 136.92,7.00,135.35,0.26,4.00,135.58,63.78,0.57
Booking Holdings,THB 136.92 - THB 140.11,2.00,139.22,0.06,1.00,139.68,63.90,0.50
Booking Holdings,THB 140.11 - THB 143.29,10.00,142.00,0.60,9.00,141.95,66.38,0.90
Booking Holdings,THB 143.29 - THB 146.48,12.00,145.52,0.71,12.00,145.52,59.22,1.00
Booking Holdings,THB 146.48 - THB 149.66,8.00,147.98,0.54,8.00,147.98,67.32,1.00
Booking Holdings,THB 149.66 - THB 152.84,14.00,151.35,0.70,12.00,151.49,58.46,0.86
Booking Holdings,THB 152.84 - THB 156.03,8.00,154.35,0.37,5.00,154.65,74.80,0.63
Booking Holdings,THB 156.03 - THB 159.21,8.00,158.27,0.32,5.00,158.19,63.81,0.63
Booking Holdings,THB 159.21 - THB 162.40,2.00,160.71,0.13,2.00,160.71,63.78,1.00
Booking Holdings,THB 162.40 - THB 165.58,9.00,164.39,0.51,8.00,164.25,63.78,0.89
Booking Holdings,THB 165.58 - THB 168.77,5.00,167.70,0.26,4.00,167.94,64.65,0.80
Booking Holdings,THB 168.77 - THB 171.95,4.00,171.15,0.06,2.00,171.55,31.94,0.50
Booking Holdings,THB 171.95 - THB 175.13,9.00,174.23,0.50,8.00,174.25,62.25,0.89
Booking Holdings,THB 175.13 - THB 178.32,6.00,176.80,0.38,6.00,176.80,63.73,1.00
Booking Holdings,THB 178.32 - THB 181.50,4.00,179.21,0.25,4.00,179.21,63.69,1.00
Booking Holdings,THB 181.50 - THB 184.69,4.00,183.44,0.13,2.00,183.65,63.88,0.50
Booking Holdings,THB 184.69 - THB 187.87,4.00,186.25,0.33,4.00,186.25,81.69,1.00
Booking Holdings,THB 187.87 - THB 191.06,5.00,189.64,0.32,5.00,189.64,63.81,1.00
Booking Holdings,THB 191.06 - THB 194.24,3.00,193.21,0.19,3.00,193.21,63.81,1.00
Booking Holdings,THB 194.24 - THB 197.42,2.00,195.63,0.13,2.00,195.63,63.76,1.00
Booking Holdings,THB 197.42 - THB 200.61,3.00,199.06,0.06,3.00,199.06,21.30,1.00
Booking Holdings,THB 200.61 - THB 203.79,2.00,202.69,0.08,1.00,203.41,79.99,0.50
Booking Holdings,THB 203.79 - THB 206.98,3.00,205.62,0.19,3.00,205.62,63.77,1.00
Booking Holdings,THB 206.98 - THB 210.16,2.00,209.28,0.13,2.00,209.28,63.79,1.00
Booking Holdings,THB 210.16 - THB 213.35,4.00,212.18,0.34,3.00,212.48,114.60,0.75
Booking Holdings,THB 213.35 - THB 216.53,2.00,215.87,0.06,2.00,215.87,31.94,1.00
Booking Holdings,THB 216.53 - THB 219.71,2.00,218.32,0.06,2.00,218.32,31.84,1.00
Booking Holdings,THB 219.71 - THB 222.90,5.00,222.12,0.26,4.00,222.06,63.78,0.80
Booking Holdings,THB 222.90 - THB 226.08,4.00,225.01,0.25,4.00,225.01,63.74,1.00
Booking Holdings,THB 226.08 - THB 229.27,2.00,227.97,0.13,2.00,227.97,63.66,1.00
Booking Holdings,THB 229.27 - THB 232.45,2.00,230.64,0.06,1.00,229.49,63.69,0.50
Booking Holdings,THB 232.45 - THB 235.64,1.00,233.67,0.14,1.00,233.67,136.29,1.00
Booking Holdings,THB 235.64 - THB 238.82,1.00,236.41,0.06,1.00,236.41,63.63,1.00
Booking Holdings,THB 242.00 - THB 245.19,4.00,243.62,0.25,4.00,243.62,63.69,1.00
Booking Holdings,THB 245.19 - THB 248.37,1.00,247.66,0.06,1.00,247.66,63.90,1.00
Booking Holdings,THB 251.56 - THB 254.74,2.00,253.18,0.06,1.00,252.74,64.14,0.50
Booking Holdings,THB 254.74 - THB 257.93,2.00,255.91,0.18,2.00,255.91,89.16,1.00
Booking Holdings,THB 257.93 - THB 261.11,3.00,259.74,0.19,3.00,259.74,63.69,1.00
Booking Holdings,THB 261.11 - THB 264.29,1.00,263.76,0.06,1.00,263.76,63.69,1.00
Booking Holdings,THB 267.48 - THB 270.66,4.00,269.88,0.41,4.00,269.88,101.69,1.00
Booking Holdings,THB 273.85 - THB 277.03,1.00,275.57,0.06,1.00,275.57,63.72,1.00
Booking Holdings,THB 277.03 - THB 280.22,1.00,277.95,0.11,1.00,277.95,111.93,1.00
Booking Holdings,THB 283.40 - THB 286.58,1.00,283.72,0.06,1.00,283.72,63.69,1.00
Booking Holdings,THB 286.58 - THB 289.77,1.00,287.45,0.10,1.00,287.45,101.64,1.00
Booking Holdings,THB 296.14 - THB 299.32,1.00,297.03,0.06,1.00,297.03,63.69,1.00
Booking Holdings,THB 299.32 - THB 302.51,2.00,301.93,0.06,2.00,301.93,31.86,1.00
Booking Holdings,THB 302.51 - THB 305.69,1.00,306.35,0.06,1.00,306.35,63.90,1.00
Booking Holdings,THB 305.69 - THB 308.87,1.00,309.42,0.08,1.00,309.42,78.98,1.00
Booking Holdings,THB 308.87 - THB 312.06,3.00,310.74,0.13,2.00,310.63,63.79,0.67
Booking Holdings,THB 315.24 - THB 318.43,1.00,318.43,0.06,1.00,318.43,63.90,1.00
Booking Holdings,THB 321.61 - THB 324.80,1.00,324.49,0.00,0.00,0.00,0.00,0.00
Booking Holdings,THB 337.53 - THB 340.72,2.00,339.17,0.13,2.00,339.17,63.89,1.00
Booking Holdings,THB 340.72 - THB 343.90,1.00,343.42,0.06,1.00,343.42,63.69,1.00
Booking Holdings,THB 347.09 - THB 350.27,1.00,348.42,0.10,1.00,348.42,95.32,1.00
Booking Holdings,THB 350.27 - THB 353.45,1.00,351.51,0.08,1.00,351.51,77.44,1.00
Booking Holdings,THB 359.82 - THB 363.01,3.00,362.39,0.13,3.00,362.39,42.58,1.00
Booking Holdings,THB 366.19 - THB 369.37,3.00,369.57,0.22,3.00,369.57,74.62,1.00
Booking Holdings,THB 369.37 - THB 372.56,2.00,370.75,0.13,2.00,370.75,63.80,1.00
Booking Holdings,THB 372.56 - THB 375.74,2.00,376.28,0.13,2.00,376.28,63.88,1.00
Booking Holdings,THB 378.93 - THB 382.11,1.00,381.44,0.06,1.00,381.44,63.69,1.00
Booking Holdings,THB 407.59 - THB 410.77,1.00,407.97,0.06,1.00,407.97,63.69,1.00
Booking Holdings,THB 452.17 - THB 455.35,1.00,456.52,0.06,1.00,456.52,63.88,1.00
Booking Holdings,THB 471.27 - THB 474.46,1.00,475.75,0.06,1.00,475.75,63.89,1.00
Booking Holdings,THB 531.77 - THB 534.96,1.00,533.08,0.06,1.00,533.08,63.69,1.00
Booking Holdings,THB 538.14 - THB 541.33,1.00,540.02,0.06,1.00,540.02,63.69,1.00
Booking Holdings,THB 560.43 - THB 563.62,1.00,560.86,0.06,1.00,560.86,63.69,1.00
Booking Holdings,THB 601.83 - THB 605.01,1.00,603.97,0.06,1.00,603.97,63.89,1.00
Booking Holdings,THB 757.86 - THB 761.04,1.00,760.70,0.06,1.00,760.70,63.69,1.00
Booking Holdings,THB 792.88 - THB 796.07,1.00,794.81,0.06,1.00,794.81,63.69,1.00
Booking Holdings,THB 843.83 - THB 847.01,1.00,845.22,0.06,1.00,845.22,63.69,1.00
CapitaLand,THB 47.76 - THB 50.95,69.00,47.84,0.00,0.00,0.00,0.00,0.00
Carlson,THB 15.92 - THB 19.11,42.00,15.94,0.00,0.00,0.00,0.00,0.00
Cendyn/ONE,THB 318.43 - THB 321.61,3.00,319.13,0.06,3.00,319.13,21.30,1.00
Central Group,THB 3.18 - THB 6.37,10.00,5.70,0.00,0.00,0.00,0.00,0.00
Central Group,THB 6.37 - THB 9.55,95.00,8.47,0.00,0.00,0.00,0.00,0.00
Central Group,THB 9.55 - THB 12.74,149.00,10.28,0.00,0.00,0.00,0.00,0.00
Central Group,THB 70.05 - THB 73.24,185.00,71.72,0.00,0.00,0.00,0.00,0.00
Central Group,THB 79.61 - THB 82.79,131.00,79.99,4.21,73.00,79.97,57.65,0.56
Central Group,THB 82.79 - THB 85.98,47.00,84.46,1.60,27.00,84.53,59.10,0.57
Central Group,THB 85.98 - THB 89.16,57.00,87.69,2.05,36.00,87.78,56.83,0.63
Central Group,THB 89.16 - THB 92.34,49.00,90.86,1.74,29.00,90.82,59.89,0.59
Central Group,THB 92.34 - THB 95.53,53.00,94.08,2.11,34.00,94.04,62.09,0.64
Central Group,THB 95.53 - THB 98.71,47.00,97.18,2.23,36.00,97.22,61.81,0.77
Central Group,THB 98.71 - THB 101.90,51.00,100.56,2.23,35.00,100.47,63.62,0.69
Central Group,THB 101.90 - THB 105.08,42.00,103.72,1.95,32.00,103.76,61.07,0.76
Central Group,THB 105.08 - THB 108.27,60.00,106.76,2.66,45.00,106.69,59.06,0.75
Central Group,THB 108.27 - THB 111.45,39.00,110.04,1.44,26.00,110.09,55.53,0.67
Central Group,THB 111.45 - THB 114.63,46.00,113.07,1.59,26.00,112.86,61.14,0.57
Central Group,THB 114.63 - THB 117.82,45.00,116.36,1.97,33.00,116.35,59.71,0.73
Central Group,THB 117.82 - THB 121.00,43.00,119.90,1.77,31.00,119.82,57.11,0.72
Central Group,THB 121.00 - THB 124.19,37.00,122.71,1.40,23.00,122.61,60.90,0.62
Central Group,THB 124.19 - THB 127.37,35.00,125.78,1.57,24.00,125.66,65.23,0.69
Central Group,THB 127.37 - THB 130.55,51.00,129.15,2.13,35.00,129.19,60.75,0.69
Central Group,THB 130.55 - THB 133.74,27.00,132.40,0.93,16.00,132.72,57.99,0.59
Central Group,THB 133.74 - THB 136.92,26.00,135.79,1.05,17.00,135.74,61.87,0.65
Central Group,THB 136.92 - THB 140.11,35.00,138.74,1.51,22.00,138.95,68.75,0.63
Central Group,THB 140.11 - THB 143.29,31.00,141.83,1.51,22.00,141.87,68.62,0.71
Central Group,THB 143.29 - THB 146.48,29.00,144.93,1.06,17.00,144.62,62.26,0.59
Central Group,THB 146.48 - THB 149.66,27.00,148.14,0.97,17.00,148.48,57.32,0.63
Central Group,THB 149.66 - THB 152.84,31.00,151.48,1.69,24.00,151.42,70.61,0.77
Central Group,THB 152.84 - THB 156.03,23.00,154.57,1.32,19.00,154.59,69.63,0.83
Central Group,THB 156.03 - THB 159.21,26.00,157.79,1.20,19.00,157.75,63.21,0.73
Central Group,THB 159.21 - THB 162.40,25.00,161.05,1.32,16.00,161.33,82.49,0.64
Central Group,THB 162.40 - THB 165.58,22.00,163.97,0.97,15.00,163.93,64.62,0.68
Central Group,THB 165.58 - THB 168.77,21.00,167.75,1.21,16.00,167.58,75.59,0.76
Central Group,THB 168.77 - THB 171.95,28.00,170.52,1.25,21.00,170.41,59.29,0.75
Central Group,THB 171.95 - THB 175.13,25.00,173.80,1.40,19.00,173.94,73.72,0.76
Central Group,THB 175.13 - THB 178.32,16.00,177.15,0.79,12.00,177.12,66.04,0.75
Central Group,THB 178.32 - THB 181.50,25.00,180.18,0.81,13.00,180.50,62.58,0.52
Central Group,THB 181.50 - THB 184.69,23.00,183.25,1.35,16.00,183.20,84.18,0.70
Central Group,THB 184.69 - THB 187.87,9.00,186.53,0.46,8.00,186.39,57.34,0.89
Central Group,THB 187.87 - THB 191.06,12.00,189.59,0.82,11.00,189.47,74.46,0.92
Central Group,THB 191.06 - THB 194.24,14.00,192.79,0.70,14.00,192.79,50.21,1.00
Central Group,THB 194.24 - THB 197.42,11.00,195.98,0.65,8.00,195.62,81.69,0.73
Central Group,THB 197.42 - THB 200.61,17.00,199.19,1.08,16.00,199.29,67.59,0.94
Central Group,THB 200.61 - THB 203.79,13.00,202.36,0.85,12.00,202.32,70.86,0.92
Central Group,THB 203.79 - THB 206.98,10.00,205.75,0.63,7.00,206.03,89.95,0.70
Central Group,THB 206.98 - THB 210.16,12.00,208.49,0.49,8.00,208.23,61.62,0.67
Central Group,THB 210.16 - THB 213.35,14.00,211.89,0.81,12.00,211.98,67.71,0.86
Central Group,THB 213.35 - THB 216.53,14.00,215.23,0.57,11.00,215.19,52.21,0.79
Central Group,THB 216.53 - THB 219.71,9.00,218.11,0.40,6.00,218.04,66.83,0.67
Central Group,THB 219.71 - THB 222.90,20.00,221.95,1.10,17.00,221.93,64.71,0.85
Central Group,THB 222.90 - THB 226.08,12.00,224.78,0.34,8.00,224.56,42.25,0.67
Central Group,THB 226.08 - THB 229.27,15.00,227.51,1.17,12.00,227.72,97.19,0.80
Central Group,THB 229.27 - THB 232.45,12.00,231.46,0.74,10.00,231.33,74.31,0.83
Central Group,THB 232.45 - THB 235.64,2.00,234.23,0.25,2.00,234.23,125.71,1.00
Central Group,THB 235.64 - THB 238.82,11.00,237.29,0.79,11.00,237.29,71.64,1.00
Central Group,THB 238.82 - THB 242.00,14.00,240.19,1.00,12.00,240.09,83.46,0.86
Central Group,THB 242.00 - THB 245.19,9.00,243.90,0.69,7.00,243.98,98.70,0.78
Central Group,THB 245.19 - THB 248.37,17.00,247.26,0.93,11.00,247.10,84.90,0.65
Central Group,THB 248.37 - THB 251.56,6.00,250.32,0.39,6.00,250.32,65.24,1.00
Central Group,THB 251.56 - THB 254.74,11.00,253.60,0.37,8.00,253.94,46.59,0.73
Central Group,THB 254.74 - THB 257.93,15.00,256.24,0.79,10.00,256.39,78.57,0.67
Central Group,THB 257.93 - THB 261.11,9.00,259.45,0.65,7.00,259.47,93.57,0.78
Central Group,THB 261.11 - THB 264.29,7.00,262.45,0.32,5.00,262.26,63.73,0.71
Central Group,THB 264.29 - THB 267.48,9.00,266.58,0.48,8.00,266.72,59.44,0.89
Central Group,THB 267.48 - THB 270.66,9.00,269.47,0.43,6.00,269.32,72.43,0.67
Central Group,THB 270.66 - THB 273.85,5.00,271.97,0.59,5.00,271.97,117.22,1.00
Central Group,THB 273.85 - THB 277.03,4.00,275.12,0.36,4.00,275.12,89.25,1.00
Central Group,THB 277.03 - THB 280.22,9.00,278.55,0.46,5.00,278.47,91.96,0.56
Central Group,THB 280.22 - THB 283.40,4.00,281.93,0.34,4.00,281.93,85.33,1.00
Central Group,THB 283.40 - THB 286.58,10.00,284.85,0.66,9.00,284.70,72.89,0.90
Central Group,THB 286.58 - THB 289.77,7.00,288.48,0.66,7.00,288.48,93.76,1.00
Central Group,THB 289.77 - THB 292.95,9.00,291.51,0.45,7.00,291.54,63.84,0.78
Central Group,THB 292.95 - THB 296.14,4.00,294.59,0.26,3.00,294.77,88.04,0.75
Central Group,THB 296.14 - THB 299.32,5.00,298.20,0.26,4.00,297.84,65.63,0.80
Central Group,THB 299.32 - THB 302.51,8.00,302.58,0.36,5.00,302.43,72.93,0.63
Central Group,THB 302.51 - THB 305.69,5.00,304.39,0.61,4.00,304.50,152.67,0.80
Central Group,THB 305.69 - THB 308.87,5.00,307.78,0.33,3.00,307.87,110.63,0.60
Central Group,THB 308.87 - THB 312.06,3.00,310.77,0.23,3.00,310.77,77.75,1.00
Central Group,THB 312.06 - THB 315.24,7.00,314.92,0.60,5.00,315.17,119.25,0.71
Central Group,THB 315.24 - THB 318.43,6.00,317.39,0.30,5.00,317.14,60.62,0.83
Central Group,THB 318.43 - THB 321.61,6.00,319.99,0.85,6.00,319.99,141.21,1.00
Central Group,THB 321.61 - THB 324.80,7.00,324.06,0.44,6.00,324.20,72.89,0.86
Central Group,THB 324.80 - THB 327.98,4.00,325.62,0.23,2.00,325.52,113.06,0.50
Central Group,THB 327.98 - THB 331.16,2.00,329.69,0.15,2.00,329.69,73.75,1.00
Central Group,THB 331.16 - THB 334.35,2.00,333.34,0.13,2.00,333.34,63.78,1.00
Central Group,THB 334.35 - THB 337.53,2.00,335.70,0.29,2.00,335.70,147.21,1.00
